Year,Month Range,Month Pillar
2000,April 4 - May 4 ,Geng Chen
2000,May 5 - June 4 ,Xin Si
2000,June 5 - July 6 ,Ren Wu
2000,July 7 - August 6 ,Gui Wei
2000,August 7 - September 6 ,Jia Shen
2000,September 7 - October 7 ,Yi You
2000,October 8 - November 6 ,Bing Xu
2000,November 7 - December 6 ,Ding Hai
2000,December 7 - January 4 ,Wu Zi
2001,January 5 - February 3 ,Ji Chou
2001,February 4 - March 4 ,Geng Yin
2001,March 5 - April 4 ,Xin Mao
2001,April 5 - May 4 ,Ren Chen
2001,May 5 - June 4 ,Gui Si
2001,June 5 - July 6 ,Jia Wu
2001,July 7 - August 6 ,Yi Wei
2001,August 7 - September 6 ,Bing Shen
2001,September 7 - October 7 ,Ding You
2001,October 8 - November 6 ,Wu Xu
2001,November 7 - December 6 ,Ji Hai
2001,December 7 - January 4 ,Geng Zi
2002,January 5 - February 3 ,Xin Chou
2002,February 4 - March 5,Ren Yin
2002,March 6 - April 4,Gui Mao
2002,April 5 - May 5,Jia Chen
2002,May 6 - June 5,Yi Si
2002,June 6 - July 6 ,Bing Wu
2002,July 7 - August 7 ,Ding Wei
2002,August 8 - September 7,Wu Shen
2002,September 8 - October 7 ,Ji You
2002,October 8 - November 6 ,Geng Xu
2002,November 7 - December 6 ,Xin Hai
2002,December 7 - January 5 ,Ren Zi
2003,January 6 - February 3,Gui Chou
2003,February 4 - March 5,Jia Yin
2003,March 6 - April 4,Yi Mao
2003,April 5 - May 5,Bing Chen
2003,May 6 - June 5,Ding Si
2003,June 6 - July 6 ,Wu Wu
2003,July 7 - August 7 ,Ji Wei
2003,August 8 - September 7,Geng Shen
2003,September 8 - October 8,Xin You
2003,October 9 - November 7,Ren Xu
2003,November 8 - December 6 ,Gui Hai
2003,December 7 - January 5 ,Jia Zi
2004,January 6 - February 3,Yi Chou
2004,February 4 - March 4 ,Bing Yin
2004,March 5 - April 3 ,Ding Mao
2004,April 4 - May 4 ,Wu Chen
2004,May 5 - June 4 ,Ji Si
2004,June 5 - July 6 ,Geng Wu
2004,July 7 - August 6 ,Xin Wei
2004,August 7 - September 6 ,Ren Shen
2004,September 7 - October 7 ,Gui You
2004,October 8 - November 6 ,Jia Xu
2004,November 7 - December 6 ,Yi Hai
2004,December 7 - January 4 ,Bing Zi
2005,January 5 - February 3 ,Ding Chou
2005,February 4 - March 4 ,Wu Yin
2005,March 5 - April 4 ,Ji Mao
2005,April 5 - May 4 ,Geng Chen
2005,May 5 - June 4 ,Xin Si
2005,June 5 - July 6 ,Ren Wu
2005,July 7 - August 6 ,Gui Wei
2005,August 7 - September 6 ,Jia Shen
2005,September 7 - October 7 ,Yi You
2005,October 8 - November 6 ,Bing Xu
2005,November 7 - December 6 ,Ding Hai
2005,December 7 - January 4 ,Wu Zi
2006,January 5 - February 3 ,Ji Chou
2006,February 4 - March 5,Geng Yin
2006,March 6 - April 4,Xin Mao
2006,April 5 - May 4 ,Ren Chen
2006,May 5 - June 5 ,Gui Si
2006,June 6 - July 6 ,Jia Wu
2006,July 7 - August 6 ,Yi Wei
2006,August 7 - September 7 ,Bing Shen
2006,September 8 - October 7 ,Ding You
2006,October 8 - November 6 ,Wu Xu
2006,November 7 - December 6 ,Ji Hai
2006,December 7 - January 5 ,Geng Zi
2007,January 6 - February 3,Xin Chou
2007,February 4 - March 5,Ren Yin
2007,March 6 - April 4,Gui Mao
2007,April 5 - May 5,Jia Chen
2007,May 6 - June 5,Yi Si
2007,June 6 - July 6 ,Bing Wu
2007,July 7 - August 7 ,Ding Wei
2007,August 8 - September 7,Wu Shen
2007,September 8 - October 8,Ji You
2007,October 9 - November 7,Geng Xu
2007,November 8 - December 6 ,Xin Hai
2007,December 7 - January 5 ,Ren Zi
2008,January 6 - February 3 ,Gui Chou
2008,February 4 - March 4 ,Jia Yin
2008,March 5 - April 3 ,Yi Mao
2008,April 4 - __ay 4 ,Bing Chen
2008,May 5 - June 4 ,Ding Si
2008,June 5 - July 6 ,Wu Wu
2008,July 7 - August 6 ,Ji Wei
2008,August 7 - September 6 ,Geng Shen
2008,September 7 - October 7 ,Xin You
2008,October 8 - November 6 ,Ren Xu
2008,November 7 - December 6 ,Gui Hai
2008,December 7 - January ,Jia Zi
2009,January 5 - February 3 ,Yi Chou
2009,February 4 - March 4 ,Bing Yin
2009,March 5 - April 3 ,Ding Mao
2009,April 4 - May 4 ,Wu Chen
2009,May 5 - June 4 ,Ji Si
2009,June 5 - July 6 ,Geng Wu
2009,July 7 - August 6 ,Xin Wei
2009,August 7 - September 6 ,Ren Shen
2009,September 7 - October 7 ,Gui You
2009,October 8 - November 6 ,Jia Xu
2009,November 7 - December 6 ,Yi Hai
2009,December 7 - January 4 ,Bing Zi
2010,January 5 - February 3 ,Ding Chou
2010,February 4 - March 5,Wu Yin
2010,March 6 - April 4,Ji Mao
2010,April 5 - May 4 ,Geng Chen
2010,May 5 - June 5 ,Xin Si
2010,June 6 - July 6 ,Ren Wu
2010,July 7 - August 6 ,Gui Wei
2010,August 7 - September 7 ,Jia Shen
2010,September 8 - October 7 ,Yi You
2010,October 8 - November 6 ,Bing Xu
2010,November 7 - December 6 ,Ding Hai
2010,December 7 - January 5 ,Wu Zi
2011,January 6 - February 3,Ji Chou
2011,February 4 - March 5,Geng Yin
2011,March 6 - April 4,Xin Mao
2011,April 5 - May 5,Ren Chen
2011,May 6 - June 5,Gui Si
2011,June 6 - July 6 ,Jia Wu
2011,July 7 - August 7 ,Yi Wei
2011,August 8 - September 7,Bing Shen
2011,September 8 - October 7 ,Ding You
2011,October 8 - November 7 ,Wu Xu
2011,November 8 - December 6 ,Ji Hai
2011,December 7 - January 5 ,Geng Zi
2012,January 6 - February 3 ,Xin Chou
2012,February 4 - March 4 ,Ren Yin
2012,March 5 - April 3 ,Gui Mao
2012,April 4 - May 4 ,Jia Chen
2012,May 5 - June 4 ,Yi Si
2012,June 5 - July 6 ,Bing Wu
2012,July 7 - August 6 ,Ding Wei
2012,August 7 - September 6 ,Wu Shen
2012,September 7 - October 7 ,Ji You
2012,October 8 - November 6 ,Geng Xu
2012,November 7 - December 6 ,Xin Hai
2012,December 7 - January 4 ,Ren Zi
2013,January 6 - February 3,Gui Chou
2013,February 4 - March 5,Jia Yin
2013,March 6 - April 4,Yi Mao
2013,April 5 - May 5,Bing Chen
2013,May 6 - June 5,Ding Si
2013,June 6 - July 7,Wu Wu
2013,July 8 - August 7,Ji Wei
2013,August 8 - September 7,Geng Shen
2013,September 8 - October 8,Xin You
2013,October 9 - November 7,Ren Xu
2013,November 8 - December 7,Gui Hai
2013,December 8 - January 5,Jia Zi
2014,January 6 - February 3,Yi Chou
2014,February 4 - March 5,Bing Yin
2014,March 6 - April 4,Ding Mao
2014,April 5 - May 5,Wu Chen
2014,May 6 - June 5,Ji Si
2014,June 6 - July 7,Geng Wu
2014,July 8 - August 7,Xin Wei
2014,August 8 - September 7,Ren Shen
2014,September 8 - October 8,Gui You
2014,October 9 - November 7,Jia Xu
2014,November 8 - December 7,Yi Hai
2014,December 8 - January 5,Bing Zi
2015,January 6 - February 3,Ding Chou
2015,February 4 - March 5,Wu Yin
2015,March 6 - April 4,Ji Mao
2015,April 5 - May 5,Geng Chen
2015,May 6 - June 5,Xin Si
2015,June 6 - July 7,Ren Wu
2015,July 8 - August 7,Gui Wei
2015,August 8 - September 7,Jia Shen
2015,September 8 - October 8,Yi You
2015,October 9 - November 7,Bing Xu
2015,November 8 - December 7,Ding Hai
2015,December 8 - January 5,Wu Zi
2016,January 6 - February 3,Ji Chou
2016,February 4 - March 5,Geng Yin
2016,March 6 - April 4,Xin Mao
2016,April 5 - May 5,Ren Chen
2016,May 6 - June 5,Gui Si
2016,June 6 - July 7,Jia Wu
2016,July 8 - August 7,Yi Wei
2016,August 8 - September 7,Bing Shen
2016,September 8 - October 8,Ding You
2016,October 9 - November 7,Wu Xu
2016,November 8 - December 7,Ji Hai
2016,December 8 - January 5,Geng Zi
2017,January 6 - February 3,Xin Chou
2017,February 4 - March 5,Ren Yin
2017,March 6 - April 4,Gui Mao
2017,April 5 - May 5,Jia Chen
2017,May 6 - June 5,Yi Si
2017,June 6 - July 7,Bing Wu
2017,July 8 - August 7,Ding Wei
2017,August 8 - September 7,Wu Shen
2017,September 8 - October 8,Ji You
2017,October 9 - November 7,Geng Xu
2017,November 8 - December 7,Xin Hai
2017,December 8 - January 5,Ren Zi
2018,January 6 - February 3,Gui Chou
2018,February 4 - March 5,Jia Yin
2018,March 6 - April 4,Yi Mao
2018,April 5 - May 5,Bing Chen
2018,May 6 - June 5,Ding Si
2018,June 6 - July 7,Wu Wu
2018,July 8 - August 7,Ji Wei
2018,August 8 - September 7,Geng Shen
2018,September 8 - October 8,Xin You
2018,October 9 - November 7,Ren Xu
2018,November 8 - December 7,Gui Hai
2018,December 8 - January 5,Jia Zi
2019,January 6 - February 3,Yi Chou
2019,February 4 - March 5,Bing Yin
2019,March 6 - April 4,Ding Mao
2019,April 5 - May 5,Wu Chen
2019,May 6 - June 5,Ji Si
2019,June 6 - July 7,Geng Wu
2019,July 8 - August 7,Xin Wei
2019,August 8 - September 7,Ren Shen
2019,September 8 - October 8,Gui You
2019,October 9 - November 7,Jia Xu
2019,November 8 - December 7,Yi Hai
2019,December 8 - January 5,Bing Zi
2020,January 6 - February 3,Ding Chou
2020,February 4 - March 5,Wu Yin
2020,March 6 - April 4,Ji Mao
2020,April 5 - May 5,Geng Chen
2020,May 6 - June 5,Xin Si
2020,June 6 - July 7,Ren Wu
2020,July 8 - August 7,Gui Wei
2020,August 8 - September 7,Jia Shen
2020,September 8 - October 8,Yi You
2020,October 9 - November 7,Bing Xu
2020,November 8 - December 7,Ding Hai
2020,December 8 - January 5,Wu Zi
2021,January 6 - February 3,Ji Chou
2021,February 4 - March 5,Geng Yin
2021,March 6 - April 4,Xin Mao
2021,April 5 - May 5,Ren Chen
2021,May 6 - June 5,Gui Si
2021,June 6 - July 7,Jia Wu
2021,July 8 - August 7,Yi Wei
2021,August 8 - September 7,Bing Shen
2021,September 8 - October 8,Ding You
2021,October 9 - November 7,Wu Xu
2021,November 8 - December 7,Ji Hai
2021,December 8 - January 5,Geng Zi
2022,January 6 - February 3,Xin Chou
2022,February 4 - March 5,Ren Yin
2022,March 6 - April 4,Gui Mao
2022,April 5 - May 5,Jia Chen
2022,May 6 - June 5,Yi Si
2022,June 6 - July 7,Bing Wu
2022,July 8 - August 7,Ding Wei
2022,August 8 - September 7,Wu Shen
2022,September 8 - October 8,Ji You
2022,October 9 - November 7,Geng Xu
2022,November 8 - December 7,Xin Hai
2022,December 8 - January 5,Ren Zi
2023,January 6 - February 3,Gui Chou
2023,February 4 - March 5,Jia Yin
2023,March 6 - April 4,Yi Mao
2023,April 5 - May 5,Bing Chen
2023,May 6 - June 5,Ding Si
2023,June 6 - July 7,Wu Wu
2023,July 8 - August 7,Ji Wei
2023,August 8 - September 7,Geng Shen
2023,September 8 - October 8,Xin You
2023,October 9 - November 7,Ren Xu
2023,November 8 - December 7,Gui Hai
2023,December 8 - January 5,Jia Zi
2024,January 6 - February 3,Yi Chou
2024,February 4 - March 5,Bing Yin
2024,March 6 - April 4,Ding Mao
2024,April 5 - May 5,Wu Chen
2024,May 6 - June 5,Ji Si
2024,June 6 - July 7,Geng Wu
2024,July 8 - August 7,Xin Wei
2024,August 8 - September 7,Ren Shen
2024,September 8 - October 8,Gui You
2024,October 9 - November 7,Jia Xu
2024,November 8 - December 7,Yi Hai
2024,December 8 - January 5,Bing Zi
2025,January 6 - February 3,Ding Chou
2025,February 4 - March 5,Wu Yin
2025,March 6 - April 4,Ji Mao
2025,April 5 - May 5,Geng Chen
2025,May 6 - June 5,Xin Si
2025,June 6 - July 7,Ren Wu
2025,July 8 - August 7,Gui Wei
2025,August 8 - September 7,Jia Shen
2025,September 8 - October 8,Yi You
2025,October 9 - November 7,Bing Xu
2025,November 8 - December 7,Ding Hai
2025,December 8 - January 5,Wu Zi
2026,January 6 - February 3,Ji Chou
2026,February 4 - March 5,Geng Yin
2026,March 6 - April 4,Xin Mao
2026,April 5 - May 5,Ren Chen
2026,May 6 - June 5,Gui Si
2026,June 6 - July 7,Jia Wu
2026,July 8 - August 7,Yi Wei
2026,August 8 - September 7,Bing Shen
2026,September 8 - October 8,Ding You
2026,October 9 - November 7,Wu Xu
2026,November 8 - December 7,Ji Hai
2026,December 8 - January 5,Geng Zi
2027,January 6 - February 3,Xin Chou
2027,February 4 - March 5,Ren Yin
2027,March 6 - April 4,Gui Mao
2027,April 5 - May 5,Jia Chen
2027,May 6 - June 5,Yi Si
2027,June 6 - July 7,Bing Wu
2027,July 8 - August 7,Ding Wei
2027,August 8 - September 7,Wu Shen
2027,September 8 - October 8,Ji You
2027,October 9 - November 7,Geng Xu
2027,November 8 - December 7,Xin Hai
2027,December 8 - January 5,Ren Zi
2028,January 6 - February 3,Gui Chou
2028,February 4 - March 5,Jia Yin
2028,March 6 - April 4,Yi Mao
2028,April 5 - May 5,Bing Chen
2028,May 6 - June 5,Ding Si
2028,June 6 - July 7,Wu Wu
2028,July 8 - August 7,Ji Wei
2028,August 8 - September 7,Geng Shen
2028,September 8 - October 8,Xin You
2028,October 9 - November 7,Ren Xu
2028,November 8 - December 7,Gui Hai
2028,December 8 - January 5,Jia Zi
2029,January 6 - February 3,Yi Chou
2029,February 4 - March 5,Bing Yin
2029,March 6 - April 4,Ding Mao
2029,April 5 - May 5,Wu Chen
2029,May 6 - June 5,Ji Si
2029,June 6 - July 7,Geng Wu
2029,July 8 - August 7,Xin Wei
2029,August 8 - September 7,Ren Shen
2029,September 8 - October 8,Gui You
2029,October 9 - November 7,Jia Xu
2029,November 8 - December 7,Yi Hai
2029,December 8 - January 5,Bing Zi
2030,January 6 - February 3,Ding Chou
2030,February 4 - March 5,Wu Yin
2030,March 6 - April 4,Ji Mao
2030,April 5 - May 5,Geng Chen
2030,May 6 - June 5,Xin Si
2030,June 6 - July 7,Ren Wu
2030,July 8 - August 7,Gui Wei
2030,August 8 - September 7,Jia Shen
2030,September 8 - October 8,Yi You
2030,October 9 - November 7,Bing Xu
2030,November 8 - December 7,Ding Hai
2030,December 8 - January 5,Wu Zi
2031,January 6 - February 3,Ji Chou
2031,February 4 - March 5,Geng Yin
2031,March 6 - April 4,Xin Mao
2031,April 5 - May 5,Ren Chen
2031,May 6 - June 5,Gui Si
2031,June 6 - July 7,Jia Wu
2031,July 8 - August 7,Yi Wei
2031,August 8 - September 7,Bing Shen
2031,September 8 - October 8,Ding You
2031,October 9 - November 7,Wu Xu
2031,November 8 - December 7,Ji Hai
2031,December 8 - January 5,Geng Zi
2032,January 6 - February 3,Xin Chou
2032,February 4 - March 5,Ren Yin
2032,March 6 - April 4,Gui Mao
2032,April 5 - May 5,Jia Chen
2032,May 6 - June 5,Yi Si
2032,June 6 - July 7,Bing Wu
2032,July 8 - August 7,Ding Wei
2032,August 8 - September 7,Wu Shen
2032,September 8 - October 8,Ji You
2032,October 9 - November 7,Geng Xu
2032,November 8 - December 7,Xin Hai
2032,December 8 - January 5,Ren Zi
2033,January 6 - February 3,Gui Chou
2033,February 4 - March 5,Jia Yin
2033,March 6 - April 4,Yi Mao
2033,April 5 - May 5,Bing Chen
2033,May 6 - June 5,Ding Si
2033,June 6 - July 7,Wu Wu
2033,July 8 - August 7,Ji Wei
2033,August 8 - September 7,Geng Shen
2033,September 8 - October 8,Xin You
2033,October 9 - November 7,Ren Xu
2033,November 8 - December 7,Gui Hai
2033,December 8 - January 5,Jia Zi
2034,January 6 - February 3,Yi Chou
2034,February 4 - March 5,Bing Yin
2034,March 6 - April 4,Ding Mao
2034,April 5 - May 5,Wu Chen
2034,May 6 - June 5,Ji Si
2034,June 6 - July 7,Geng Wu
2034,July 8 - August 7,Xin Wei
2034,August 8 - September 7,Ren Shen
2034,September 8 - October 8,Gui You
2034,October 9 - November 7,Jia Xu
2034,November 8 - December 7,Yi Hai
2034,December 8 - January 5,Bing Zi
2035,January 6 - February 3,Ding Chou
2035,February 4 - March 5,Wu Yin
2035,March 6 - April 4,Ji Mao
2035,April 5 - May 5,Geng Chen
2035,May 6 - June 5,Xin Si
2035,June 6 - July 7,Ren Wu
2035,July 8 - August 7,Gui Wei
2035,August 8 - September 7,Jia Shen
2035,September 8 - October 8,Yi You
2035,October 9 - November 7,Bing Xu
2035,November 8 - December 7,Ding Hai
2035,December 8 - January 5,Wu Zi
2036,January 6 - February 3,Ji Chou
2036,February 4 - March 5,Geng Yin
2036,March 6 - April 4,Xin Mao
2036,April 5 - May 5,Ren Chen
2036,May 6 - June 5,Gui Si
2036,June 6 - July 7,Jia Wu
2036,July 8 - August 7,Yi Wei
2036,August 8 - September 7,Bing Shen
2036,September 8 - October 8,Ding You
2036,October 9 - November 7,Wu Xu
2036,November 8 - December 7,Ji Hai
2036,December 8 - January 5,Geng Zi
2037,January 6 - February 3,Xin Chou
2037,February 4 - March 5,Ren Yin
2037,March 6 - April 4,Gui Mao
2037,April 5 - May 5,Jia Chen
2037,May 6 - June 5,Yi Si
2037,June 6 - July 7,Bing Wu
2037,July 8 - August 7,Ding Wei
2037,August 8 - September 7,Wu Shen
2037,September 8 - October 8,Ji You
2037,October 9 - November 7,Geng Xu
2037,November 8 - December 7,Xin Hai
2037,December 8 - January 5,Ren Zi
2038,January 6 - February 3,Gui Chou
2038,February 4 - March 5,Jia Yin
2038,March 6 - April 4,Yi Mao
2038,April 5 - May 5,Bing Chen
2038,May 6 - June 5,Ding Si
2038,June 6 - July 7,Wu Wu
2038,July 8 - August 7,Ji Wei
2038,August 8 - September 7,Geng Shen
2038,September 8 - October 8,Xin You
2038,October 9 - November 7,Ren Xu
2038,November 8 - December 7,Gui Hai
2038,December 8 - January 5,Jia Zi
2039,January 6 - February 3,Yi Chou
2039,February 4 - March 5,Bing Yin
2039,March 6 - April 4,Ding Mao
2039,April 5 - May 5,Wu Chen
2039,May 6 - June 5,Ji Si
2039,June 6 - July 7,Geng Wu
2039,July 8 - August 7,Xin Wei
2039,August 8 - September 7,Ren Shen
2039,September 8 - October 8,Gui You
2039,October 9 - November 7,Jia Xu
2039,November 8 - December 7,Yi Hai
2039,December 8 - January 5,Bing Zi
2040,January 6 - February 3,Ding Chou
2040,February 4 - March 5,Wu Yin
2040,March 6 - April 4,Ji Mao
2040,April 5 - May 5,Geng Chen
2040,May 6 - June 5,Xin Si
2040,June 6 - July 7,Ren Wu
2040,July 8 - August 7,Gui Wei
2040,August 8 - September 7,Jia Shen
2040,September 8 - October 8,Yi You
2040,October 9 - November 7,Bing Xu
2040,November 8 - December 7,Ding Hai
2040,December 8 - January 5,Wu Zi
2041,January 6 - February 3,Ji Chou
2041,February 4 - March 5,Geng Yin
2041,March 6 - April 4,Xin Mao
2041,April 5 - May 5,Ren Chen
2041,May 6 - June 5,Gui Si
2041,June 6 - July 7,Jia Wu
2041,July 8 - August 7,Yi Wei
2041,August 8 - September 7,Bing Shen
2041,September 8 - October 8,Ding You
2041,October 9 - November 7,Wu Xu
2041,November 8 - December 7,Ji Hai
2041,December 8 - January 5,Geng Zi
2042,January 6 - February 3,Xin Chou
2042,February 4 - March 5,Ren Yin
2042,March 6 - April 4,Gui Mao
2042,April 5 - May 5,Jia Chen
2042,May 6 - June 5,Yi Si
2042,June 6 - July 7,Bing Wu
2042,July 8 - August 7,Ding Wei
2042,August 8 - September 7,Wu Shen
2042,September 8 - October 8,Ji You
2042,October 9 - November 7,Geng Xu
2042,November 8 - December 7,Xin Hai
2042,December 8 - January 5,Ren Zi
2043,January 6 - February 3,Gui Chou
2043,February 4 - March 5,Jia Yin
2043,March 6 - April 4,Yi Mao
2043,April 5 - May 5,Bing Chen
2043,May 6 - June 5,Ding Si
2043,June 6 - July 7,Wu Wu
2043,July 8 - August 7,Ji Wei
2043,August 8 - September 7,Geng Shen
2043,September 8 - October 8,Xin You
2043,October 9 - November 7,Ren Xu
2043,November 8 - December 7,Gui Hai
2043,December 8 - January 5,Jia Zi
2044,January 6 - February 3,Yi Chou
2044,February 4 - March 5,Bing Yin
2044,March 6 - April 4,Ding Mao
2044,April 5 - May 5,Wu Chen
2044,May 6 - June 5,Ji Si
2044,June 6 - July 7,Geng Wu
2044,July 8 - August 7,Xin Wei
2044,August 8 - September 7,Ren Shen
2044,September 8 - October 8,Gui You
2044,October 9 - November 7,Jia Xu
2044,November 8 - December 7,Yi Hai
2044,December 8 - January 5,Bing Zi
2045,January 6 - February 3,Ding Chou
2045,February 4 - March 5,Wu Yin
2045,March 6 - April 4,Ji Mao
2045,April 5 - May 5,Geng Chen
2045,May 6 - June 5,Xin Si
2045,June 6 - July 7,Ren Wu
2045,July 8 - August 7,Gui Wei
2045,August 8 - September 7,Jia Shen
2045,September 8 - October 8,Yi You
2045,October 9 - November 7,Bing Xu
2045,November 8 - December 7,Ding Hai
2045,December 8 - January 5,Wu Zi
2046,January 6 - February 3,Ji Chou
2046,February 4 - March 5,Geng Yin
2046,March 6 - April 4,Xin Mao
2046,April 5 - May 5,Ren Chen
2046,May 6 - June 5,Gui Si
2046,June 6 - July 7,Jia Wu
2046,July 8 - August 7,Yi Wei
2046,August 8 - September 7,Bing Shen
2046,September 8 - October 8,Ding You
2046,October 9 - November 7,Wu Xu
2046,November 8 - December 7,Ji Hai
2046,December 8 - January 5,Geng Zi
2047,January 6 - February 3,Xin Chou
2047,February 4 - March 5,Ren Yin
2047,March 6 - April 4,Gui Mao
2047,April 5 - May 5,Jia Chen
2047,May 6 - June 5,Yi Si
2047,June 6 - July 7,Bing Wu
2047,July 8 - August 7,Ding Wei
2047,August 8 - September 7,Wu Shen
2047,September 8 - October 8,Ji You
2047,October 9 - November 7,Geng Xu
2047,November 8 - December 7,Xin Hai
2047,December 8 - January 5,Ren Zi
2048,January 6 - February 3,Gui Chou
2048,February 4 - March 5,Jia Yin
2048,March 6 - April 4,Yi Mao
2048,April 5 - May 5,Bing Chen
2048,May 6 - June 5,Ding Si
2048,June 6 - July 7,Wu Wu
2048,July 8 - August 7,Ji Wei
2048,August 8 - September 7,Geng Shen
2048,September 8 - October 8,Xin You
2048,October 9 - November 7,Ren Xu
2048,November 8 - December 7,Gui Hai
2048,December 8 - January 5,Jia Zi
2049,January 6 - February 3,Yi Chou
2049,February 4 - March 5,Bing Yin
2049,March 6 - April 4,Ding Mao
2049,April 5 - May 5,Wu Chen
2049,May 6 - June 5,Ji Si
2049,June 6 - July 7,Geng Wu
2049,July 8 - August 7,Xin Wei
2049,August 8 - September 7,Ren Shen
2049,September 8 - October 8,Gui You
2049,October 9 - November 7,Jia Xu
2049,November 8 - December 7,Yi Hai
2049,December 8 - January 5,Bing Zi
2050,January 6 - February 3,Ding Chou
2050,February 4 - March 5,Wu Yin
2050,March 6 - April 4,Ji Mao
2050,April 5 - May 5,Geng Chen
2050,May 6 - June 5,Xin Si
2050,June 6 - July 7,Ren Wu
2050,July 8 - August 7,Gui Wei
2050,August 8 - September 7,Jia Shen
2050,September 8 - October 8,Yi You
2050,October 9 - November 7,Bing Xu
2050,November 8 - December 7,Ding Hai
2050,December 8 - January 5,Wu Zi